mysql> SELECT * FROM gb_main;
+----------+----------------------+------------+----------------------------------------------+------------+-------------+------------+-----------+
| acc_num  | chrom_loc            | gene_id    | prot_name                                    | locus_span | gene_span   | cds_span   | start_cod |
+----------+----------------------+------------+----------------------------------------------+------------+-------------+------------+-----------+
| AB005548 | 18q21                | NF         | squamous cell carcinoma antigen 2            | 1..7096    | NF          | NF         | start=1   |
| AB007174 | NF                   | NF         | ribosomal protein L17                        | 1..332     | NF          | NF         | start=1   |
| AB034984 | 18q21.3              | SCCA1      | squamous cell carcinoma antigen 1            | 1..5278    | 4973        | 4973       | start=1   |
| AB035089 | 18q21.3              | SCCA2      | squamous cell carcinoma antigen 2            | 1..11524   | NF          | NF         | start=1   |
| AB043547 | 18q21                | SMAD4      | SMAD4                                        | 1..160820  | NF          | NF         | start=1   |
| AB045122 | 18q21                | ME2        | ME2                                          | 1..3365    | NF          | NF         | start=1   |
| AB061824 | 18q21.1-q21.2        | RPL17      | ribosomal protein L17                        | 1..5666    | 1268..5270  | NF         | start=1   |
| AB065574 | NF                   | NF         | seven transmembrane helix receptor           | 1..1414    | NF          | 201..1214  | start=1   |
| AB065915 | NF                   | NF         | seven transmembrane helix receptor           | 1..1294    | NF          | 201..1094  | start=1   |
| AB065916 | NF                   | NF         | seven transmembrane helix receptor           | 1..1541    | NF          | NF         | start=1   |
| AF025880 | 18p11.2              | IMPA2      | inosine monophosphatase 2                    | 1..150     | NF          | NF         | start=3   |
| AF025882 | 18p11.2              | IMPA2      | inosine monophosphatase 2                    | 1..571     | NF          | NF         | start=1   |
| AF025884 | 18p11.2              | IMPA2      | inosine monophosphatase 2                    | 1..542     | NF          | NF         | start=1   |
| AF025886 | 18p11.2              | IMPA2      | inosine monophosphatase 2                    | 1..357     | NF          | NF         | start=2   |
| AF045447 | 18q21.1              | DPC4       | deleted in pancreatic carcinoma              | 1..1157    | NF          | NF         | start=1   |
| AF046026 | 18q12                | HUT11      | blood group Kidd urea transporter            | 1..381     | NF          | NF         | start=3   |
| AF081866 | 18q21.2-q22          | NF         | NF                                           | 1..282     | NF          | NF         | start=1   |
| AF081867 | 18q21.2-q22          | NF         | NF                                           | 1..184     | NF          | NF         | start=2   |
| AF081869 | 18q21.2-q22          | NF         | NF                                           | 1..312     | NF          | NF         | start=3   |
| AF081871 | 18q21.2-q22          | NF         | NF                                           | 1..186     | NF          | NF         | start=2   |
| AF081873 | 18q21.2-q22          | NF         | NF                                           | 1..316     | NF          | NF         | start=3   |
| AF081875 | 18q21.2-q22          | NF         | NF                                           | 1..182     | NF          | NF         | start=1   |
| AF081877 | 18q21.2-q22          | NF         | NF                                           | 1..164     | NF          | NF         | start=2   |
| AF081879 | 18q21.2-q22          | NF         | NF                                           | 1..278     | NF          | NF         | start=2   |
| AF081880 | 18q21.2-q22          | NF         | NF                                           | 1..173     | NF          | NF         | start=2   |
| AF081882 | 18q21.2-q22          | NF         | NF                                           | 1..287     | NF          | NF         | start=1   |
| AF081884 | 18q21.2-q22          | NF         | NF                                           | 1..231     | NF          | NF         | start=1   |
| AF081885 | 18q21.2-q22          | NF         | NF                                           | 1..370     | NF          | NF         | start=1   |
| AF085628 | 18p11.2              | IMPA2      | inosine monophosphatase 2                    | 1..96      | NF          | NF         | start=1   |
| AF085630 | 18p11.2              | IMPA2      | inosine monophosphatase 2                    | 1..73      | NF          | NF         | start=3   |
| AF085632 | 18p11.2              | IMPA2      | inosine monophosphatase 2                    | 1..119     | NF          | NF         | start=2   |
| AF120981 | 18q21                | MBD1       | methyl-CpG binding protein 1                 | 1..7085    | NF          | NF         | start=1   |
| AF120989 | 18q21                | MBD2       | testis-specific methyl-CpG binding protein 2 | 1..4465    | NF          | NF         | start=1   |
| AF120993 | 18q21                | MBD2       | methyl-CpG binding protein 2                 | 1..742     | NF          | NF         | start=1   |
| AF127519 | 18p11.32             | NF         | thymidylate synthase                         | 1..140     | NF          | NF         | start=1   |
| AF127520 | 18p11.32             | NF         | thymidylate synthase                         | 1..168     | NF          | NF         | start=1   |
